t,Pmeas,Vmeas
2.952,1.157,-0.753
2.964,1.167,-0.693
2.976,1.128,-0.613
2.988,1.069,-0.507
3,0.977,-0.376
3.012,0.859,-0.223
3.024,0.723,-0.055
3.036,0.576,0.119
3.048,0.42,0.283
3.06,0.283,0.43
3.072,0.161,0.555
3.084,0.015,0.653
3.096,-0.122,0.726
3.108,-0.244,0.774
3.12,-0.356,0.799
3.132,-0.454,0.803
3.144,-0.532,0.786
3.156,-0.586,0.75
3.168,-0.62,0.691
3.18,-0.645,0.609
3.192,-0.645,0.501
3.204,-0.625,0.368
3.216,-0.557,0.211
3.228,-0.439,0.038
3.24,-0.288,-0.138
3.252,-0.103,-0.306
3.264,0.117,-0.455
3.276,0.347,-0.578
3.288,0.522,-0.672
3.3,0.703,-0.741
3.312,0.854,-0.783
3.324,0.986,-0.803
3.336,1.084,-0.8
3.348,1.143,-0.777
3.36,1.167,-0.731
3.372,1.152,-0.663
3.384,1.113,-0.572
3.396,1.035,-0.456
3.408,0.928,-0.316
3.42,0.811,-0.156
3.432,0.664,0.014
3.444,0.518,0.185
3.456,0.356,0.343
3.468,0.269,0.482
3.48,0.103,0.596
3.492,-0.044,0.684
3.504,-0.171,0.747
3.516,-0.293,0.786
3.528,-0.396,0.803
3.54,-0.488,0.799
3.552,-0.552,0.775
3.564,-0.605,0.73
3.576,-0.63,0.663
3.588,-0.649,0.573
3.6,-0.645,0.456
3.612,-0.605,0.315
3.624,-0.518,0.153
3.636,-0.396,-0.024
3.648,-0.234,-0.198
3.66,-0.034,-0.361
3.672,0.195,-0.501
3.684,0.42,-0.614
3.696,0.586,-0.699
3.708,0.752,-0.758
3.72,0.908,-0.793
3.732,1.021,-0.804
3.744,1.104,-0.794
3.756,1.152,-0.763
3.768,1.167,-0.711
3.78,1.143,-0.636
3.792,1.084,-0.536
3.804,1.001,-0.412
3.816,0.889,-0.263
3.828,0.762,-0.1
3.84,0.62,0.072
3.852,0.464,0.239
3.864,0.308,0.391
3.876,0.19,0.522
3.888,0.054,0.628
3.9,-0.088,0.707
3.912,-0.215,0.762
3.924,-0.327,0.794
3.936,-0.43,0.804
3.948,-0.513,0.794
3.96,-0.576,0.763
3.972,-0.615,0.711
3.984,-0.64,0.637
3.996,-0.649,0.538
4.008,-0.635,0.413
4.02,-0.581,0.263
4.032,-0.483,0.097
4.044,-0.347,-0.081
4.056,-0.171,-0.252
4.068,0.054,-0.408
4.08,0.273,-0.54
4.092,0.474,-0.643
4.104,0.635,-0.721
4.116,0.811,-0.772
4.128,0.952,-0.799
4.14,1.055,-0.803
4.152,1.128,-0.787
4.164,1.167,-0.749
4.176,1.167,-0.689
4.188,1.128,-0.607
4.2,1.064,-0.5
4.212,0.967,-0.369
4.224,0.854,-0.215
4.236,0.723,-0.049
4.248,0.571,0.124
4.26,0.41,0.287
4.272,0.278,0.434
4.284,0.166,0.558
4.296,0.015,0.654
4.308,-0.122,0.726
4.32,-0.244,0.774
4.332,-0.361,0.799
4.344,-0.454,0.803
4.356,-0.532,0.787
4.368,-0.586,0.75
4.38,-0.625,0.692
4.392,-0.645,0.61
4.404,-0.649,0.505
4.416,-0.625,0.373
4.428,-0.562,0.219
4.44,-0.449,0.046
4.452,-0.303,-0.13
4.464,-0.117,-0.298
4.476,0.112,-0.447
4.488,0.327,-0.571
4.5,0.498,-0.667
4.512,0.693,-0.737
4.524,0.85,-0.781
4.536,0.981,-0.802
4.548,1.079,-0.801
4.56,1.138,-0.779
4.572,1.167,-0.735
4.584,1.157,-0.67
4.596,1.118,-0.582
4.608,1.045,-0.469
4.62,0.942,-0.331
4.632,0.82,-0.173
4.644,0.684,-0.006
4.656,0.532,0.166
4.668,0.376,0.325
4.68,0.264,0.467
4.692,0.122,0.583
4.704,-0.024,0.674
4.716,-0.156,0.74
4.728,-0.273,0.782
4.74,-0.381,0.802
4.752,-0.474,0.801
4.764,-0.552,0.78
4.776,-0.596,0.738
4.788,-0.63,0.674
4.8,-0.649,0.588
4.812,-0.645,0.477
4.824,-0.615,0.34
4.836,-0.537,0.18
4.848,-0.42,0.007
4.86,-0.264,-0.168
4.872,-0.068,-0.333
4.884,0.151,-0.477
4.896,0.386,-0.594
4.908,0.518,-0.685
4.92,0.718,-0.748
4.932,0.879,-0.787
4.944,1.001,-0.804
4.956,1.094,-0.798
4.968,1.152,-0.772
4.98,1.167,-0.725
4.992,1.152,-0.655
5.004,1.104,-0.561
5.016,1.025,-0.444
5.028,0.918,-0.303
5.04,0.801,-0.142
5.052,0.659,0.028
5.064,0.503,0.196
5.076,0.347,0.352
5.088,0.254,0.489
5.1,0.098,0.6
5.112,-0.044,0.688
5.124,-0.171,0.749
5.136,-0.293,0.787
5.148,-0.4,0.803
5.16,-0.488,0.799
5.172,-0.557,0.775
5.184,-0.605,0.729
5.196,-0.635,0.663
5.208,-0.649,0.573
5.22,-0.645,0.459
5.232,-0.61,0.316
5.244,-0.522,0.156
5.256,-0.396,-0.018
5.268,-0.244,-0.194
5.28,-0.044,-0.354
5.292,0.186,-0.494
5.304,0.41,-0.608
5.316,0.566,-0.695
5.328,0.742,-0.755
5.34,0.894,-0.791
5.352,1.016,-0.804
5.364,1.099,-0.796
5.376,1.152,-0.767
5.388,1.172,-0.718
5.4,1.152,-0.646
5.412,1.099,-0.55
5.424,1.016,-0.431
5.436,0.908,-0.288
5.448,0.786,-0.127
5.46,0.645,0.044
5.472,0.488,0.212
5.484,0.342,0.365
5.496,0.239,0.499
5.508,0.093,0.609
5.52,-0.054,0.693
5.532,-0.181,0.752
5.544,-0.303,0.789
5.556,-0.405,0.804
5.568,-0.493,0.798
5.58,-0.562,0.773
5.592,-0.61,0.727
5.604,-0.64,0.66
5.616,-0.654,0.568
5.628,-0.649,0.452
5.64,-0.61,0.313
5.652,-0.522,0.15
5.664,-0.4,-0.023
5.676,-0.239,-0.196
5.688,-0.049,-0.356
5.7,0.181,-0.495
5.712,0.391,-0.609
5.724,0.552,-0.695
5.736,0.742,-0.755
5.748,0.894,-0.791
5.76,1.016,-0.804
5.772,1.099,-0.796
5.784,1.147,-0.768
5.796,1.167,-0.719
5.808,1.147,-0.647
5.82,1.099,-0.551
5.832,1.021,-0.434
5.844,0.913,-0.291
5.856,0.791,-0.131
5.868,0.649,0.038
5.88,0.498,0.206
5.892,0.342,0.361
5.904,0.254,0.494
5.916,0.098,0.605
5.928,-0.049,0.69
5.94,-0.176,0.75
5.952,-0.293,0.787
5.964,-0.396,0.803
5.976,-0.488,0.799
5.988,-0.557,0.775
6,-0.605,0.731
6.012,-0.635,0.665
6.024,-0.654,0.576
6.036,-0.654,0.462
6.048,-0.615,0.323
6.06,-0.532,0.162
6.072,-0.41,-0.011
6.084,-0.254,-0.184
6.096,-0.054,-0.344
6.108,0.166,-0.487
6.12,0.391,-0.6
6.132,0.542,-0.689
6.144,0.723,-0.751
6.156,0.884,-0.789
6.168,1.006,-0.804
6.18,1.094,-0.798
6.192,1.147,-0.772
6.204,1.167,-0.724
6.216,1.152,-0.655
6.228,1.104,-0.562
6.24,1.03,-0.445
6.252,0.923,-0.305
6.264,0.801,-0.147
6.276,0.659,0.023
6.288,0.513,0.19
6.3,0.352,0.346
6.312,0.264,0.482
6.324,0.107,0.596
6.336,-0.029,0.682
6.348,-0.161,0.745
6.36,-0.283,0.785
6.372,-0.391,0.803
6.384,-0.483,0.8
6.396,-0.547,0.778
6.408,-0.601,0.735
6.42,-0.635,0.672
6.432,-0.654,0.585
6.444,-0.649,0.475
6.456,-0.62,0.339
6.468,-0.542,0.18
6.48,-0.425,0.009
6.492,-0.269,-0.165
6.504,-0.083,-0.329
6.516,0.137,-0.472
6.528,0.366,-0.589
6.54,0.498,-0.68
6.552,0.698,-0.745
6.564,0.869,-0.785
6.576,0.991,-0.803
6.588,1.084,-0.8
6.6,1.143,-0.776
6.612,1.167,-0.731
6.624,1.157,-0.664
6.636,1.113,-0.575
6.648,1.035,-0.462
6.66,0.938,-0.324
6.672,0.82,-0.168
6.684,0.684,-0.002
6.696,0.532,0.167
6.708,0.376,0.325
6.72,0.269,0.466
6.732,0.127,0.581
6.744,-0.015,0.672
6.756,-0.142,0.737
6.768,-0.269,0.781
6.78,-0.371,0.802
6.792,-0.464,0.802
6.804,-0.542,0.783
6.816,-0.591,0.744
6.828,-0.625,0.684
6.84,-0.649,0.6
6.852,-0.654,0.493
6.864,-0.63,0.36
6.876,-0.557,0.207
6.888,-0.444,0.038
6.9,-0.298,-0.138
6.912,-0.117,-0.304
6.924,0.103,-0.45
6.936,0.332,-0.572
6.948,0.498,-0.668
6.96,0.679,-0.736
6.972,0.845,-0.78
6.984,0.977,-0.802
6.996,1.074,-0.802
7.008,1.138,-0.781
7.02,1.167,-0.739
7.032,1.162,-0.677
7.044,1.128,-0.591
7.056,1.055,-0.483
7.068,0.962,-0.35
